name,handedness,height,weight,avg,HR,height_c,weight_c,BMI
Tom Brown,R,73,170,0,0,185,77,22
Denny Lemaster,R,73,182,0.13,4,185,82,24
Joe Nolan,L,71,175,0.263,27,180,79,24
Denny Doyle,L,69,175,0.25,16,175,79,26
Jose Cardenal,R,70,150,0.275,138,178,68,21
Mike Ryan,R,74,205,0.193,28,188,93,26
Fritz Peterson,B,72,185,0.159,2,183,84,25
Dick Bertell,R,72,200,0.25,10,183,91,27
Rod Kanehl,R,73,180,0.241,6,185,82,24
Ozzie Osborn,R,74,195,0,0,188,88,25
John LaRose,L,73,185,0,0,185,84,24
Jeff Byrd,R,75,195,0,0,191,88,24
Juan Bonilla,R,69,170,0.256,7,175,77,25
Frank Tepedino,L,71,185,0.241,6,180,84,26
Jerry Kutzler,L,73,175,0,0,185,79,23
Rick Wise,R,73,180,0.195,15,185,82,24
Darrell Evans,L,74,200,0.248,414,188,91,26
Buck Martinez,R,70,190,0.225,58,178,86,27
John Wockenfuss,R,72,190,0.262,86,183,86,26
Tommy McCraw,L,72,183,0.246,75,183,83,25
Jeff Barkley,B,75,185,0,0,191,84,23
Eric Wilkins,R,73,190,0,0,185,86,25
Britt Burns,L,77,215,0,0,196,97,25
Lee Lacy,R,73,175,0.286,91,185,79,23
Pete Rose,B,71,192,0.303,160,180,87,27
Danny Walton,R,72,195,0.223,28,183,88,26
Bobby Cox,R,71,180,0.225,9,180,82,25
Brad Wellman,R,72,170,0.231,6,183,77,23
Jeff Newman,R,74,215,0.224,63,188,97,28
Pedro Gonzalez,R,72,176,0.244,8,183,80,24
Nardi Contreras,B,74,193,0,0,188,87,25
Tommie Reynolds,R,74,190,0.226,12,188,86,24
Gene Clines,R,69,170,0.277,5,175,77,25
Jim Hickman,R,75,192,0.252,159,191,87,24
Jack Billingham,R,76,195,0.111,0,193,88,24
Jerry Buchek,R,71,185,0.22,22,180,84,26
Ivan DeJesus,R,71,175,0.254,21,180,79,24
Gary Nolan,R,74,197,0.138,1,188,89,25
Gil Patterson,R,73,185,0,0,185,84,24
Fred Whitfield,L,73,190,0.253,108,185,86,25
Larry Dierker,R,76,215,0.136,4,193,97,26
Dave Skaggs,R,74,200,0.241,3,188,91,26
Dick Ruthven,R,75,190,0.183,1,191,86,24
Jerry Garvin,L,75,195,0,0,191,88,24
Steve Eddy,R,74,185,0,0,188,84,24
Dave Kingman,R,78,210,0.236,442,198,95,24
Eric Soderholm,R,71,187,0.264,102,180,85,26
Kevin Mmahat,L,77,220,0,0,196,100,26
Ed Brinkman,R,72,170,0.224,60,183,77,23
Wayne Garrett,L,71,175,0.239,61,180,79,24
Tony Muser,L,74,180,0.259,7,188,82,23
Jim Siwy,R,76,200,0,0,193,91,24
Bud Anderson,R,75,210,0,0,191,95,26
Ted Ford,R,70,180,0.219,17,178,82,26
Kevin Stanfield,L,72,190,0,0,183,86,26
Jim Lyttle,L,72,180,0.248,9,183,82,24
John Butcher,R,76,185,0,0,193,84,22
Jerry Ujdur,R,73,195,0,0,185,88,26
Scot Thompson,L,75,195,0.262,5,191,88,24
Gene Locklear,L,70,165,0.274,9,178,75,24
Bo Diaz,R,71,185,0.255,87,180,84,26
Bump Wills,B,69,172,0.266,36,175,78,25
Brian Denman,R,76,205,0,0,193,93,25
Pat Putnam,L,72,205,0.255,63,183,93,28
Kurt Bevacqua,R,72,180,0.236,27,183,82,24
Bob Fallon,L,75,200,0,0,191,91,25
Syd O'Brien,R,73,185,0.23,24,185,84,24
Chris Chambliss,L,73,195,0.279,185,185,88,26
Tom Satriano,L,73,185,0.225,21,185,84,24
Jeffrey Leonard,R,74,200,0.266,144,188,91,26
Dal Maxvill,R,71,157,0.217,6,180,71,22
Steve Curry,R,78,217,0,0,198,98,25
Cesar Tovar,R,69,155,0.278,46,175,70,23
Mickey Lolich,B,73,170,0.11,0,185,77,22
Ray Chadwick,B,74,180,0,0,188,82,23
Jack Heidemann,R,72,175,0.211,9,183,79,24
